Total glosses: 2000
bother: 11 video(s)
bottle: 11 video(s)
bottom: 11 video(s)
brag: 11 video(s)
build: 11 video(s)
bus: 11 video(s)
butter: 11 video(s)
calm: 11 video(s)
cancel: 11 video(s)
candle: 11 video(s)
cards: 11 video(s)
choice: 11 video(s)
comb: 11 video(s)
comfortable: 11 video(s)
conflict: 11 video(s)
cover: 11 video(s)
deodorant: 11 video(s)
dessert: 11 video(s)
destroy: 11 video(s)
diamond: 11 video(s)
dollar: 11 video(s)
drawer: 11 video(s)
dream: 11 video(s)
drunk: 11 video(s)
duck: 11 video(s)
during: 11 video(s)
eagle: 11 video(s)
early: 11 video(s)
equal: 11 video(s)
every: 11 video(s)
excited: 11 video(s)
exercise: 11 video(s)
experiment: 11 video(s)
expert: 11 video(s)
fact: 11 video(s)
fear: 11 video(s)
feedback: 11 video(s)
fold: 11 video(s)
forest: 11 video(s)
france: 11 video(s)
frog: 11 video(s)
funny: 11 video(s)
garage: 11 video(s)
goal: 11 video(s)
golf: 11 video(s)
gone: 11 video(s)
gossip: 11 video(s)
grandmother: 11 video(s)
grapes: 11 video(s)
group: 11 video(s)
guilty: 11 video(s)
hamburger: 11 video(s)
hate: 11 video(s)
head: 11 video(s)
her: 11 video(s)
horse: 11 video(s)
ignore: 11 video(s)
impossible: 11 video(s)
in: 11 video(s)
independent: 11 video(s)
inside: 11 video(s)
insurance: 11 video(s)
island: 11 video(s)
lecture: 11 video(s)
lesson: 11 video(s)
limit: 11 video(s)
lion: 11 video(s)
listen: 11 video(s)
march: 11 video(s)
math: 11 video(s)
maybe: 11 video(s)
mechanic: 11 video(s)
mom: 11 video(s)
mouse: 11 video(s)
much: 11 video(s)
muscle: 11 video(s)
museum: 11 video(s)
must: 11 video(s)
mustache: 11 video(s)
negative: 11 video(s)
nervous: 11 video(s)
neutral: 11 video(s)
nose: 11 video(s)
often: 11 video(s)
operate: 11 video(s)
opinion: 11 video(s)
other: 11 video(s)
pass: 11 video(s)
pillow: 11 video(s)
prepare: 11 video(s)
pretty: 11 video(s)
priest: 11 video(s)
program: 11 video(s)
promise: 11 video(s)
put: 11 video(s)
queen: 11 video(s)
quit: 11 video(s)
radio: 11 video(s)
rat: 11 video(s)
reject: 11 video(s)
require: 11 video(s)
rest: 11 video(s)
retire: 11 video(s)
rise: 11 video(s)
rough: 11 video(s)
see: 11 video(s)
seem: 11 video(s)
send: 11 video(s)
sew: 11 video(s)
sheep: 11 video(s)
shine: 11 video(s)
shock: 11 video(s)
should: 11 video(s)
silent: 11 video(s)
skinny: 11 video(s)
skirt: 11 video(s)
sky: 11 video(s)
sour: 11 video(s)
special: 11 video(s)
spirit: 11 video(s)
staff: 11 video(s)
stand: 11 video(s)
steal: 11 video(s)
stop: 11 video(s)
stupid: 11 video(s)
summon: 11 video(s)
sunrise: 11 video(s)
swallow: 11 video(s)
television: 11 video(s)
to: 11 video(s)
together: 11 video(s)
translate: 11 video(s)
triangle: 11 video(s)
turtle: 11 video(s)
underwear: 11 video(s)
up: 11 video(s)
upset: 11 video(s)
violin: 11 video(s)
volunteer: 11 video(s)
warm: 11 video(s)
warn: 11 video(s)
wash: 11 video(s)
wine: 11 video(s)
witness: 11 video(s)
wood: 11 video(s)
zero: 11 video(s)
accept: 12 video(s)
adult: 12 video(s)
after: 12 video(s)
ago: 12 video(s)
allow: 12 video(s)
america: 12 video(s)
angel: 12 video(s)
answer: 12 video(s)
any: 12 video(s)
area: 12 video(s)
art: 12 video(s)
asl: 12 video(s)
aunt: 12 video(s)
awful: 12 video(s)
awkward: 12 video(s)
bacon: 12 video(s)
bark: 12 video(s)
bedroom: 12 video(s)
beer: 12 video(s)
belt: 12 video(s)
big: 12 video(s)
bitter: 12 video(s)
both: 12 video(s)
cake: 12 video(s)
california: 12 video(s)
canada: 12 video(s)
carrot: 12 video(s)
cause: 12 video(s)
challenge: 12 video(s)
cheap: 12 video(s)
chocolate: 12 video(s)
clean: 12 video(s)
cloud: 12 video(s)
compare: 12 video(s)
complex: 12 video(s)
contact: 12 video(s)
continue: 12 video(s)
corner: 12 video(s)
correct: 12 video(s)
curse: 12 video(s)
dead: 12 video(s)
demand: 12 video(s)
depend: 12 video(s)
desert: 12 video(s)
desk: 12 video(s)
develop: 12 video(s)
dictionary: 12 video(s)
doll: 12 video(s)
duty: 12 video(s)
easter: 12 video(s)
egypt: 12 video(s)
elevator: 12 video(s)
email: 12 video(s)
end: 12 video(s)
enter: 12 video(s)
europe: 12 video(s)
event: 12 video(s)
experience: 12 video(s)
face: 12 video(s)
fail: 12 video(s)
feed: 12 video(s)
few: 12 video(s)
flag: 12 video(s)
food: 12 video(s)
for: 12 video(s)
form: 12 video(s)
freeze: 12 video(s)
friday: 12 video(s)
front: 12 video(s)
giraffe: 12 video(s)
god: 12 video(s)
grammar: 12 video(s)
grandfather: 12 video(s)
great: 12 video(s)
greece: 12 video(s)
guess: 12 video(s)
guitar: 12 video(s)
hammer: 12 video(s)
helicopter: 12 video(s)
high: 12 video(s)
history: 12 video(s)
hungry: 12 video(s)
hurt: 12 video(s)
introduce: 12 video(s)
invest: 12 video(s)
lazy: 12 video(s)
library: 12 video(s)
lie: 12 video(s)
lobster: 12 video(s)
love: 12 video(s)
lucky: 12 video(s)
magazine: 12 video(s)
measure: 12 video(s)
microwave: 12 video(s)
my: 12 video(s)
neighbor: 12 video(s)
number: 12 video(s)
one: 12 video(s)
outside: 12 video(s)
peach: 12 video(s)
pig: 12 video(s)
polite: 12 video(s)
postpone: 12 video(s)
power: 12 video(s)
present: 12 video(s)
price: 12 video(s)
prison: 12 video(s)
push: 12 video(s)
raccoon: 12 video(s)
really: 12 video(s)
reason: 12 video(s)
religion: 12 video(s)
respect: 12 video(s)
rule: 12 video(s)
salad: 12 video(s)
schedule: 12 video(s)
sell: 12 video(s)
serious: 12 video(s)
shower: 12 video(s)
single: 12 video(s)
smart: 12 video(s)
smile: 12 video(s)
soft: 12 video(s)
sound: 12 video(s)
soup: 12 video(s)
spain: 12 video(s)
spray: 12 video(s)
squirrel: 12 video(s)
stomach: 12 video(s)
story: 12 video(s)
strange: 12 video(s)
street: 12 video(s)
stress: 12 video(s)
strict: 12 video(s)
strong: 12 video(s)
sugar: 12 video(s)
summer: 12 video(s)
suspect: 12 video(s)
sweetheart: 12 video(s)
tease: 12 video(s)
that: 12 video(s)
themselves: 12 video(s)
therapy: 12 video(s)
thirsty: 12 video(s)
ticket: 12 video(s)
top: 12 video(s)
tuesday: 12 video(s)
turkey: 12 video(s)
university: 12 video(s)
until: 12 video(s)
watch: 12 video(s)
weak: 12 video(s)
wedding: 12 video(s)
will: 12 video(s)
wind: 12 video(s)
world: 12 video(s)
worry: 12 video(s)
wow: 12 video(s)
young: 12 video(s)
afternoon: 13 video(s)
age: 13 video(s)
alone: 13 video(s)
appointment: 13 video(s)
australia: 13 video(s)
avoid: 13 video(s)
balloon: 13 video(s)
basement: 13 video(s)
bear: 13 video(s)
believe: 13 video(s)
better: 13 video(s)
blind: 13 video(s)
bored: 13 video(s)
bowl: 13 video(s)
box: 13 video(s)
bracelet: 13 video(s)
bread: 13 video(s)
cafeteria: 13 video(s)
car: 13 video(s)
chicken: 13 video(s)
child: 13 video(s)
choose: 13 video(s)
church: 13 video(s)
cookie: 13 video(s)
cup: 13 video(s)
cut: 13 video(s)
decorate: 13 video(s)
deep: 13 video(s)
deer: 13 video(s)
dentist: 13 video(s)
dirty: 13 video(s)
dive: 13 video(s)
down: 13 video(s)
dry: 13 video(s)
ear: 13 video(s)
earn: 13 video(s)
earring: 13 video(s)
elephant: 13 video(s)
english: 13 video(s)
escape: 13 video(s)
expensive: 13 video(s)
explain: 13 video(s)
fast: 13 video(s)
fight: 13 video(s)
find: 13 video(s)
fishing: 13 video(s)
floor: 13 video(s)
fly: 13 video(s)
follow: 13 video(s)
from: 13 video(s)
get: 13 video(s)
happen: 13 video(s)
hello: 13 video(s)
hit: 13 video(s)
hospital: 13 video(s)
idea: 13 video(s)
important: 13 video(s)
investigate: 13 video(s)
japan: 13 video(s)
jealous: 13 video(s)
king: 13 video(s)
kitchen: 13 video(s)
large: 13 video(s)
last year: 13 video(s)
lemon: 13 video(s)
lettuce: 13 video(s)
marry: 13 video(s)
meeting: 13 video(s)
minute: 13 video(s)
mirror: 13 video(s)
miss: 13 video(s)
monkey: 13 video(s)
morning: 13 video(s)
motorcycle: 13 video(s)
necklace: 13 video(s)
never: 13 video(s)
newspaper: 13 video(s)
night: 13 video(s)
onion: 13 video(s)
people: 13 video(s)
pepper: 13 video(s)
phone: 13 video(s)
picture: 13 video(s)
plus: 13 video(s)
point: 13 video(s)
poor: 13 video(s)
possible: 13 video(s)
quiet: 13 video(s)
rain: 13 video(s)
ready: 13 video(s)
research: 13 video(s)
scared: 13 video(s)
science: 13 video(s)
score: 13 video(s)
sentence: 13 video(s)
shape: 13 video(s)
sit: 13 video(s)
slow: 13 video(s)
snake: 13 video(s)
soap: 13 video(s)
soda: 13 video(s)
speech: 13 video(s)
star: 13 video(s)
stink: 13 video(s)
struggle: 13 video(s)
stubborn: 13 video(s)
sunset: 13 video(s)
surgery: 13 video(s)
there: 13 video(s)
tiger: 13 video(s)
toast: 13 video(s)
toilet: 13 video(s)
tomorrow: 13 video(s)
town: 13 video(s)
transfer: 13 video(s)
tree: 13 video(s)
truck: 13 video(s)
uncle: 13 video(s)
vacation: 13 video(s)
weather: 13 video(s)
weekend: 13 video(s)
always: 14 video(s)
animal: 14 video(s)
argue: 14 video(s)
baby: 14 video(s)
back: 14 video(s)
bake: 14 video(s)
bath: 14 video(s)
behind: 14 video(s)
bring: 14 video(s)
catch: 14 video(s)
cereal: 14 video(s)
champion: 14 video(s)
cheese: 14 video(s)
cough: 14 video(s)
crazy: 14 video(s)
delay: 14 video(s)
delicious: 14 video(s)
disappear: 14 video(s)
divorce: 14 video(s)
draw: 14 video(s)
east: 14 video(s)
easy: 14 video(s)
egg: 14 video(s)
environment: 14 video(s)
father: 14 video(s)
fault: 14 video(s)
flower: 14 video(s)
friendly: 14 video(s)
glasses: 14 video(s)
halloween: 14 video(s)
hard: 14 video(s)
heart: 14 video(s)
hour: 14 video(s)
humble: 14 video(s)
hurry: 14 video(s)
improve: 14 video(s)
internet: 14 video(s)
jump: 14 video(s)
kill: 14 video(s)
law: 14 video(s)
match: 14 video(s)
meat: 14 video(s)
milk: 14 video(s)
money: 14 video(s)
month: 14 video(s)
moon: 14 video(s)
move: 14 video(s)
near: 14 video(s)
nephew: 14 video(s)
nice: 14 video(s)
niece: 14 video(s)
noon: 14 video(s)
north: 14 video(s)
not: 14 video(s)
nurse: 14 video(s)
off: 14 video(s)
ok: 14 video(s)
patient: 14 video(s)
pay: 14 video(s)
perspective: 14 video(s)
potato: 14 video(s)
sad: 14 video(s)
saturday: 14 video(s)
save: 14 video(s)
scissors: 14 video(s)
secret: 14 video(s)
shoes: 14 video(s)
shop: 14 video(s)
silly: 14 video(s)
sister: 14 video(s)
sleep: 14 video(s)
sorry: 14 video(s)
straight: 14 video(s)
sweet: 14 video(s)
talk: 14 video(s)
temperature: 14 video(s)
tent: 14 video(s)
thank you: 14 video(s)
think: 14 video(s)
throw: 14 video(s)
today: 14 video(s)
traffic: 14 video(s)
understand: 14 video(s)
use: 14 video(s)
voice: 14 video(s)
vomit: 14 video(s)
vote: 14 video(s)
wednesday: 14 video(s)
west: 14 video(s)
wet: 14 video(s)
when: 14 video(s)
which: 14 video(s)
win: 14 video(s)
word: 14 video(s)
example: 15 video(s)
about: 15 video(s)
approve: 15 video(s)
arrive: 15 video(s)
balance: 15 video(s)
banana: 15 video(s)
beard: 15 video(s)
because: 15 video(s)
boy: 15 video(s)
business: 15 video(s)
careful: 15 video(s)
center: 15 video(s)
chat: 15 video(s)
children: 15 video(s)
christmas: 15 video(s)
clock: 15 video(s)
close: 15 video(s)
convince: 15 video(s)
country: 15 video(s)
crash: 15 video(s)
day: 15 video(s)
discuss: 15 video(s)
dress: 15 video(s)
drive: 15 video(s)
drop: 15 video(s)
fat: 15 video(s)
feel: 15 video(s)
football: 15 video(s)
future: 15 video(s)
game: 15 video(s)
girl: 15 video(s)
government: 15 video(s)
hear: 15 video(s)
here: 15 video(s)
hope: 15 video(s)
house: 15 video(s)
husband: 15 video(s)
interest: 15 video(s)
join: 15 video(s)
light: 15 video(s)
live: 15 video(s)
make: 15 video(s)
mean: 15 video(s)
more: 15 video(s)
most: 15 video(s)
music: 15 video(s)
new: 15 video(s)
none: 15 video(s)
office: 15 video(s)
order: 15 video(s)
pants: 15 video(s)
party: 15 video(s)
past: 15 video(s)
pencil: 15 video(s)
plan: 15 video(s)
please: 15 video(s)
practice: 15 video(s)
president: 15 video(s)
restaurant: 15 video(s)
ride: 15 video(s)
russia: 15 video(s)
salt: 15 video(s)
sandwich: 15 video(s)
sign: 15 video(s)
since: 15 video(s)
small: 15 video(s)
some: 15 video(s)
south: 15 video(s)
student: 15 video(s)
teach: 15 video(s)
theory: 15 video(s)
tomato: 15 video(s)
train: 15 video(s)
ugly: 15 video(s)
war: 15 video(s)
where: 15 video(s)
your: 15 video(s)
again: 16 video(s)
bad: 16 video(s)
ball: 16 video(s)
bathroom: 16 video(s)
blanket: 16 video(s)
buy: 16 video(s)
call: 16 video(s)
coffee: 16 video(s)
cold: 16 video(s)
college: 16 video(s)
copy: 16 video(s)
cute: 16 video(s)
daughter: 16 video(s)
far: 16 video(s)
first: 16 video(s)
friend: 16 video(s)
good: 16 video(s)
happy: 16 video(s)
home: 16 video(s)
know: 16 video(s)
late: 16 video(s)
leave: 16 video(s)
list: 16 video(s)
lose: 16 video(s)
name: 16 video(s)
old: 16 video(s)
person: 16 video(s)
police: 16 video(s)
problem: 16 video(s)
remember: 16 video(s)
share: 16 video(s)
soon: 16 video(s)
stay: 16 video(s)
sunday: 16 video(s)
test: 16 video(s)
tired: 16 video(s)
trade: 16 video(s)
travel: 16 video(s)
window: 16 video(s)
you: 16 video(s)
backpack: 17 video(s)
bar: 17 video(s)
brother: 17 video(s)
cat: 17 video(s)
check: 17 video(s)
class: 17 video(s)
cry: 17 video(s)
different: 17 video(s)
door: 17 video(s)
green: 17 video(s)
hair: 17 video(s)
have: 17 video(s)
headache: 17 video(s)
inform: 17 video(s)
knife: 17 video(s)
laugh: 17 video(s)
learn: 17 video(s)
movie: 17 video(s)
rabbit: 17 video(s)
read: 17 video(s)
red: 17 video(s)
room: 17 video(s)
run: 17 video(s)
show: 17 video(s)
sick: 17 video(s)
snow: 17 video(s)
take: 17 video(s)
tea: 17 video(s)
teacher: 17 video(s)
week: 17 video(s)
why: 17 video(s)
with: 17 video(s)
write: 17 video(s)
yesterday: 17 video(s)
africa: 18 video(s)
basketball: 18 video(s)
birthday: 18 video(s)
brown: 18 video(s)
but: 18 video(s)
cheat: 18 video(s)
city: 18 video(s)
cook: 18 video(s)
decide: 18 video(s)
full: 18 video(s)
how: 18 video(s)
jacket: 18 video(s)
letter: 18 video(s)
medicine: 18 video(s)
need: 18 video(s)
paint: 18 video(s)
paper: 18 video(s)
pull: 18 video(s)
purple: 18 video(s)
right: 18 video(s)
same: 18 video(s)
son: 18 video(s)
tell: 18 video(s)
thursday: 18 video(s)
visit: 18 video(s)
wait: 18 video(s)
water: 18 video(s)
wife: 18 video(s)
yellow: 18 video(s)
accident: 19 video(s)
apple: 19 video(s)
bird: 19 video(s)
change: 19 video(s)
color: 19 video(s)
corn: 19 video(s)
cow: 19 video(s)
dance: 19 video(s)
dark: 19 video(s)
doctor: 19 video(s)
eat: 19 video(s)
enjoy: 19 video(s)
forget: 19 video(s)
give: 19 video(s)
last: 19 video(s)
meet: 19 video(s)
pink: 19 video(s)
pizza: 19 video(s)
play: 19 video(s)
school: 19 video(s)
secretary: 19 video(s)
short: 19 video(s)
time: 19 video(s)
want: 19 video(s)
work: 19 video(s)
bed: 20 video(s)
blue: 20 video(s)
bowling: 20 video(s)
can: 20 video(s)
dog: 20 video(s)
family: 20 video(s)
fish: 20 video(s)
graduate: 20 video(s)
hat: 20 video(s)
hearing: 20 video(s)
kiss: 20 video(s)
language: 20 video(s)
later: 20 video(s)
man: 20 video(s)
shirt: 20 video(s)
study: 20 video(s)
tall: 20 video(s)
white: 20 video(s)
wrong: 20 video(s)
all: 21 video(s)
black: 21 video(s)
cool: 21 video(s)
finish: 21 video(s)
hot: 21 video(s)
like: 21 video(s)
many: 21 video(s)
mother: 21 video(s)
now: 21 video(s)
orange: 21 video(s)
table: 21 video(s)
thanksgiving: 21 video(s)
what: 21 video(s)
woman: 21 video(s)
fine: 22 video(s)
help: 22 video(s)
no: 22 video(s)
thin: 22 video(s)
walk: 22 video(s)
year: 22 video(s)
yes: 22 video(s)
cousin: 23 video(s)
deaf: 23 video(s)
candy: 24 video(s)
clothes: 25 video(s)
who: 25 video(s)
before: 26 video(s)
chair: 26 video(s)
go: 26 video(s)
computer: 30 video(s)
drink: 35 video(s)
book: 40 video(s)
